,T1,T2,direction,effect size,prevalence_T1,prevalence_T2,pval_naive,pval_bh,pval_by,pval_bonf
114,Retron_II,PsyrTA,-1,6.731544380323536,0.03313298271975958,0.0526671675432006,3.0008900615324214e-167,1.6324841934736373e-165,1.0096677765430541e-164,8.162420967368186e-165
129,AbiU,PsyrTA,-1,5.718330279006122,0.019053343350864012,0.0526671675432006,1.3597692140906382e-90,4.62321532790817e-89,2.8593915697746024e-88,3.698572262326536e-88
107,PD-T4-1,PsyrTA,-1,5.107702856842615,0.019894815927873778,0.0526671675432006,4.2506339903916857e-07,4.446817097640533e-06,2.7502918249486006e-05,0.00011561724453865385
106,PD-T4-1,PD-T4-3,-1,5.097266970978625,0.019894815927873778,0.07738542449286251,4.919831559458838e-17,7.04312728512002e-16,4.356071987898048e-15,1.338194184172804e-14
134,PARIS_II,PsyrTA,-1,4.4747067101213585,0.02211870773854245,0.0526671675432006,4.285272145446548e-11,5.067800102441135e-10,3.1343607992361448e-09,1.1655940235614611e-08
82,AbiE,PD-T4-1,-1,4.359989929226302,0.053493613824192335,0.019894815927873778,0.0003778484018787391,0.0028622643211552363,0.017702689340409777,0.10277476531101704
83,AbiE,Retron_II,-1,4.323442571436985,0.053493613824192335,0.03313298271975958,1.6458404046635533e-06,1.6580318150684685e-05,0.00010254686096504979,0.0004476685900684865
23,CBASS_I,Retron_II,-1,3.845544318876101,0.042945154019534186,0.03313298271975958,0.0,0.0,0.0,0.0
133,PARIS_II,PD-T4-3,-1,3.630368804834156,0.02211870773854245,0.07738542449286251,2.7248172332914842e-05,0.00022459099619857084,0.0013890627098868903,0.007411502874552837
49,RM_Type_II,PD-T4-1,-1,3.483746434098084,0.138572501878287,0.019894815927873778,0.009430433536214446,0.04844849808952531,0.299646927905715,1.0
97,MazEF,PARIS_II,-1,3.45332105369235,0.15989481592787377,0.02211870773854245,0.000791416867153478,0.005765189331094789,0.03565685913865,0.215265387865746
8,Mok_Hok_Sok,Retron_II,-1,3.4186934650307568,0.12283996994740796,0.03313298271975958,5.245026823850744e-275,7.1332364804370115e-273,4.41180321717764e-272,1.4266472960874023e-272
92,MazEF,Retron_II,-1,3.390142163961513,0.15989481592787377,0.03313298271975958,3.1513526081007856e-29,5.714452729356091e-28,3.534306062181499e-27,8.571679094034137e-27
28,CBASS_I,PARIS_II,-1,3.342054181431773,0.042945154019534186,0.02211870773854245,0.0002672100295044451,0.0021376802360355608,0.013221241954480894,0.07268112802520907
22,CBASS_I,PD-T4-1,-1,3.288263666880618,0.042945154019534186,0.019894815927873778,0.013591578277584657,0.06485805774566714,0.4011376723692991,1.0
91,MazEF,PD-T4-1,-1,3.2038747747954295,0.15989481592787377,0.019894815927873778,0.00863596718562772,0.04605849165668117,0.2848650850516126,1.0
13,Mok_Hok_Sok,PARIS_II,-1,3.107800701682445,0.12283996994740796,0.02211870773854245,0.0015953845556563437,0.010848614978463136,0.06709710885818408,0.43394459913852546
113,Retron_II,PD-T4-3,-1,3.0836868480066255,0.03313298271975958,0.07738542449286251,1.4046621177001122e-173,9.551702400360764e-172,5.907589282229056e-171,3.8206809601443054e-171
124,BREX_I,PD-T4-3,-1,3.0206165593717005,0.03682945154019534,0.07738542449286251,1.1056800286318667e-110,4.296356682683826e-109,2.657234242379402e-108,3.0074496778786775e-108
95,MazEF,AbiU,-1,3.000248467448272,0.15989481592787377,0.019053343350864012,4.075393522195337e-14,5.27860494303396e-13,3.2647405331023443e-12,1.1085070380371316e-11
125,BREX_I,PsyrTA,-1,2.972257578140006,0.03682945154019534,0.0526671675432006,0.002026601309415074,0.013124656099069052,0.0811740927992837,0.5512355561609001
7,Mok_Hok_Sok,PD-T4-1,-1,2.9400401001849916,0.12283996994740796,0.019894815927873778,0.014025002349945047,0.06505182472097248,0.4023360929843725,1.0
55,RM_Type_II,PARIS_II,-1,2.8878216201774087,0.138572501878287,0.02211870773854245,0.002337799658300166,0.014702494666773156,0.09093279530168197,0.6358815070576451
88,AbiE,PARIS_II,-1,2.8642299235556847,0.053493613824192335,0.02211870773854245,0.0023783447255074225,0.014702494666773156,0.09093279530168197,0.6469097653380189
25,CBASS_I,BREX_I,-1,2.71674895061605,0.042945154019534186,0.03682945154019534,2.93368535343017e-75,8.866249068144513e-74,5.4836463462854103e-73,7.979624161330063e-73
110,Retron_II,AbiU,-1,2.6214252100787303,0.03313298271975958,0.019053343350864012,1.98454575766839e-74,5.397964460858021e-73,3.338562662255239e-72,5.397964460858021e-72
50,RM_Type_II,Retron_II,-1,2.576232153532582,0.138572501878287,0.03313298271975958,4.511456415035177e-63,1.115560131717789e-61,6.899577480103582e-61,1.2271161448895681e-60
29,CBASS_I,PD-T4-3,-1,2.5652109003017793,0.042945154019534186,0.07738542449286251,2.602618032054595e-174,2.3597070157294995e-172,1.4594445357507986e-171,7.079121047188498e-172
135,PD-T4-3,PsyrTA,-1,2.4934607142523575,0.07738542449286251,0.0526671675432006,0.014110506097563884,0.06505182472097248,0.4023360929843725,1.0
120,RM_Type_III,PsyrTA,-1,2.47694414380286,0.13646882043576258,0.0526671675432006,0.004849376134644928,0.028064474651562137,0.1735747018842375,1.0
123,BREX_I,PARIS_II,1,2.4644493649078036,0.03682945154019534,0.02211870773854245,4.643349717895833e-24,7.893694520422917e-23,4.882135476109407e-22,1.2629911232676665e-21
126,AbiU,Mokosh_TypeII,-1,2.435295294110189,0.019053343350864012,0.0641923365890308,1.1131502506460858e-48,2.5231405681311275e-47,1.5605258155117775e-46,3.0277686817573533e-46
11,Mok_Hok_Sok,AbiU,-1,2.353708599951578,0.12283996994740796,0.019053343350864012,6.173348652183016e-111,2.798584722322967e-109,1.7308840265354897e-108,1.6791508333937803e-108
121,BREX_I,AbiU,-1,2.3501221093728577,0.03682945154019534,0.019053343350864012,9.151385769254817e-20,1.3828760717985057e-18,8.552887765953966e-18,2.48917692923731e-17
132,Mokosh_TypeII,PsyrTA,-1,2.2719703998951615,0.0641923365890308,0.0526671675432006,0.014966149129684952,0.06784654272123845,0.4196210181350977,1.0
87,AbiE,Mokosh_TypeII,-1,2.2658717773658603,0.053493613824192335,0.0641923365890308,0.02778171331152936,0.11112685324611744,0.6873034561669439,1.0
27,CBASS_I,Mokosh_TypeII,-1,2.183777463366468,0.042945154019534186,0.0641923365890308,2.066920090269736e-33,4.0157304610954876e-32,2.4836709978937816e-31,5.622022645533683e-31
80,CAS_Class1-Subtype-I-E,PsyrTA,-1,2.1257759676099326,0.20018031555221638,0.0526671675432006,0.007064776397122666,0.039216717959538065,0.24254970788580738,1.0
127,AbiU,PARIS_II,-1,2.0556608552133016,0.019053343350864012,0.02211870773854245,0.02216809526214594,0.09276495248159532,0.5737377653496217,1.0
128,AbiU,PD-T4-3,-1,2.051329257086059,0.019053343350864012,0.07738542449286251,6.135530613541724e-48,1.2837417899102685e-46,7.939756622795336e-46,1.668864326883349e-45
65,RM_Type_IV,AbiU,-1,2.0384535494171647,0.13350864012021038,0.019053343350864012,5.307379959635096e-08,5.774429396082984e-07,3.571400759931529e-06,1.4436073490207462e-05
70,CAS_Class1-Subtype-I-E,AbiE,-1,2.0208718377586345,0.20018031555221638,0.053493613824192335,0.01694062422581996,0.0731404728479846,0.45236320750277925,1.0
86,AbiE,AbiU,-1,1.986299621190826,0.053493613824192335,0.019053343350864012,0.0367635850791097,0.14285278773596913,0.8835237556539443,1.0
36,RM_Type_I,PD-T4-1,1,1.9575488092968112,0.21284748309541698,0.019894815927873778,1.2318946506331855e-05,0.00011554322240421602,0.000714618058330182,0.0033507534497222644
131,Mokosh_TypeII,PD-T4-3,-1,1.9547756689070184,0.0641923365890308,0.07738542449286251,8.344066916596291e-22,1.3350507066554066e-20,8.257094824867997e-20,2.269586201314191e-19
84,AbiE,RM_Type_III,-1,1.9360941901489463,0.053493613824192335,0.13646882043576258,0.019540361314047232,0.08304653558470074,0.5136307675665253,1.0
103,PD-T4-1,AbiU,-1,1.9341109998823995,0.019894815927873778,0.019053343350864012,0.01564208101807689,0.06974829568716252,0.43138308417111243,1.0
10,Mok_Hok_Sok,BREX_I,-1,1.9259354963580264,0.12283996994740796,0.03682945154019534,3.2446461896563645e-09,3.677265681610546e-08,2.2743354449329045e-07,8.825437635865312e-07
53,RM_Type_II,AbiU,-1,1.7560168235816045,0.138572501878287,0.019053343350864012,1.314332513563309e-13,1.624992925860091e-12,1.0050345362672238e-11,3.5749844368922004e-11
76,CAS_Class1-Subtype-I-E,AbiU,-1,1.7534552383625086,0.20018031555221638,0.019053343350864012,0.0040442816569906444,0.02391401327611859,0.14790470075757983,1.0
93,MazEF,RM_Type_III,-1,1.7475790985200492,0.15989481592787377,0.13646882043576258,0.011439459909177139,0.05672082614173287,0.3508100760985004,1.0
94,MazEF,BREX_I,-1,1.7185399502454224,0.15989481592787377,0.03682945154019534,0.011469284697776867,0.05672082614173287,0.3508100760985004,1.0
9,Mok_Hok_Sok,RM_Type_III,-1,1.7032474658039827,0.12283996994740796,0.13646882043576258,0.0019266855663374683,0.012781914001068083,0.07905428267554832,0.5240584740437914
85,AbiE,BREX_I,-1,1.70028851081125,0.053493613824192335,0.03682945154019534,0.04538521184440561,0.16459703495571099,1.0,1.0
52,RM_Type_II,BREX_I,-1,1.6889592908179716,0.138572501878287,0.03682945154019534,0.0003788291013293695,0.0028622643211552363,0.017702689340409777,0.1030415155615885
30,CBASS_I,PsyrTA,-1,1.563304414432508,0.042945154019534186,0.0526671675432006,0.04207834847141309,0.15678507923595014,0.9696929561716134,1.0
19,CBASS_I,CAS_Class1-Subtype-I-E,-1,1.5396874044778914,0.042945154019534186,0.20018031555221638,0.016374556769933213,0.07183676518422313,0.4442999648484581,1.0
20,CBASS_I,AbiE,-1,1.482127056019258,0.042945154019534186,0.053493613824192335,0.06885561476877725,0.22296103829889774,1.0,1.0
89,AbiE,PD-T4-3,-1,1.470352144997483,0.053493613824192335,0.07738542449286251,0.07125553975060767,0.22801772720194452,1.0,1.0
12,Mok_Hok_Sok,Mokosh_TypeII,-1,1.4124259882487744,0.12283996994740796,0.0641923365890308,1.6687145187369967e-05,0.00014184073409264473,0.0008772643507795648,0.004538903490964631
79,CAS_Class1-Subtype-I-E,PD-T4-3,-1,1.4085745434398995,0.20018031555221638,0.07738542449286251,0.025984397557392902,0.10708721417592226,0.6623188749112952,1.0
77,CAS_Class1-Subtype-I-E,Mokosh_TypeII,-1,1.3898083923611018,0.20018031555221638,0.0641923365890308,0.029891434757004204,0.11783290223050934,0.7287793956861653,1.0
68,RM_Type_IV,PD-T4-3,-1,1.3854275395319202,0.13350864012021038,0.07738542449286251,0.0009876039856881779,0.006887904720697036,0.0426006908501126,0.26862828410718437
26,CBASS_I,AbiU,-1,1.3461795358483348,0.042945154019534186,0.019053343350864012,1.5313867458153625e-05,0.00013436683705218665,0.0008310393824943028,0.004165371948617786
98,MazEF,PD-T4-3,-1,1.3402832619951843,0.15989481592787377,0.07738542449286251,0.04195417628743334,0.15678507923595014,0.9696929561716134,1.0
14,Mok_Hok_Sok,PD-T4-3,-1,1.3246483809439356,0.12283996994740796,0.07738542449286251,5.568083632822117e-15,7.572593740638079e-14,4.683539304907438e-13,1.5145187481276159e-12
111,Retron_II,Mokosh_TypeII,-1,1.2873661183869887,0.03313298271975958,0.0641923365890308,0.0025090838530348572,0.015166017956121804,0.09379961956131992,0.6824708080254812
59,RM_Type_IV,AbiE,-1,1.2345500870674408,0.13350864012021038,0.053493613824192335,0.08485343574018384,0.2593273541722472,1.0,1.0
130,Mokosh_TypeII,PARIS_II,1,1.1533468793249835,0.0641923365890308,0.02211870773854245,0.0008054308624323603,0.005765189331094789,0.03565685913865,0.21907719458160202
96,MazEF,Mokosh_TypeII,-1,1.1384906524043543,0.15989481592787377,0.0641923365890308,0.06333699252372949,0.20797939860180373,1.0,1.0
24,CBASS_I,RM_Type_III,-1,1.098025548407683,0.042945154019534186,0.13646882043576258,0.057105540991987794,0.19661654620026175,1.0,1.0
0,Mok_Hok_Sok,CBASS_I,-1,1.0791745867748974,0.12283996994740796,0.042945154019534186,5.885628825914e-06,5.7174680023164574e-05,0.00035361709647378206,0.001600891040648608
69,RM_Type_IV,PsyrTA,-1,1.0735140075360774,0.13350864012021038,0.0526671675432006,0.0736116798585276,0.23281833629673845,1.0,1.0
4,Mok_Hok_Sok,CAS_Class1-Subtype-I-E,-1,1.072256941126053,0.12283996994740796,0.20018031555221638,0.06233365746831448,0.20797939860180373,1.0,1.0
18,CBASS_I,RM_Type_IV,-1,1.0508026452421886,0.042945154019534186,0.13350864012021038,0.008408065574912197,0.04573987672752235,0.28289449796486904,1.0
6,Mok_Hok_Sok,MazEF,1,1.0189379793696567,0.12283996994740796,0.15989481592787377,1.304329345525738e-05,0.00011825919399433358,0.0007314159483649585,0.0035477758198300072
90,AbiE,PsyrTA,-1,0.9893454512145275,0.053493613824192335,0.0526671675432006,0.09441749359380373,0.28535064730571796,1.0,1.0
105,PD-T4-1,PARIS_II,1,0.9526210561650905,0.019894815927873778,0.02211870773854245,0.027009966676847443,0.10965240203138066,0.6781841894349531,1.0
118,RM_Type_III,PARIS_II,1,0.9428924001221598,0.13646882043576258,0.02211870773854245,0.013531064538383101,0.06485805774566714,0.4011376723692991,1.0
61,RM_Type_IV,PD-T4-1,1,0.8500169592570059,0.13350864012021038,0.019894815927873778,0.047333096945519404,0.1689965160025899,1.0,1.0
73,CAS_Class1-Subtype-I-E,Retron_II,-1,0.8154902838094329,0.20018031555221638,0.03313298271975958,0.103982660991699,0.30620311743487216,1.0,1.0
75,CAS_Class1-Subtype-I-E,BREX_I,-1,0.8112839011445248,0.20018031555221638,0.03682945154019534,0.11385062120995029,0.32944009541602637,1.0,1.0
39,RM_Type_I,BREX_I,-1,0.8064170545551193,0.21284748309541698,0.03682945154019534,0.061796933151048956,0.20797939860180373,1.0,1.0
17,CBASS_I,RM_Type_II,-1,0.7756513154913789,0.042945154019534186,0.138572501878287,0.009440332348326624,0.04844849808952531,0.299646927905715,1.0
72,CAS_Class1-Subtype-I-E,PD-T4-1,1,0.7670408938008931,0.20018031555221638,0.019894815927873778,0.10469444824059967,0.30620311743487216,1.0,1.0
48,RM_Type_II,MazEF,1,0.7476950179112241,0.138572501878287,0.15989481592787377,0.005210912488173925,0.02952850409965224,0.18262951150234089,1.0
109,Retron_II,BREX_I,-1,0.7269102672336394,0.03313298271975958,0.03682945154019534,0.043315850704843895,0.1592150188069938,0.9847217796887904,1.0
43,RM_Type_I,PD-T4-3,-1,0.7237524745295318,0.21284748309541698,0.07738542449286251,0.04994125376176487,0.17415411568205186,1.0,1.0
62,RM_Type_IV,Retron_II,-1,0.7119191268023832,0.13350864012021038,0.03313298271975958,0.047840925486027294,0.1689965160025899,1.0,1.0
40,RM_Type_I,AbiU,-1,0.6803584211470515,0.21284748309541698,0.019053343350864012,0.06346430177922688,0.20797939860180373,1.0,1.0
34,RM_Type_I,AbiE,-1,0.6766472480797691,0.21284748309541698,0.053493613824192335,0.20563673926748555,0.5,1.0,1.0
38,RM_Type_I,RM_Type_III,1,0.6508764092280237,0.21284748309541698,0.13646882043576258,0.04150847367698914,0.15678507923595014,0.9696929561716134,1.0
66,RM_Type_IV,Mokosh_TypeII,-1,0.6261529680343352,0.13350864012021038,0.0641923365890308,0.07568797504785181,0.23663366911512293,1.0,1.0
81,AbiE,MazEF,-1,0.6095569824487042,0.053493613824192335,0.15989481592787377,0.21276898735332722,0.5,1.0,1.0
15,Mok_Hok_Sok,PsyrTA,-1,0.6073395287115035,0.12283996994740796,0.0526671675432006,0.16764628947886268,0.4470567719436338,1.0,1.0
58,RM_Type_IV,CAS_Class1-Subtype-I-E,-1,0.5930785685530875,0.13350864012021038,0.20018031555221638,0.17744087492009905,0.4685817279443393,1.0,1.0
5,Mok_Hok_Sok,AbiE,-1,0.5664315892729328,0.12283996994740796,0.053493613824192335,0.2319036376481552,0.5,1.0,1.0
45,RM_Type_II,RM_Type_IV,-1,0.542169357923497,0.138572501878287,0.13350864012021038,0.08449228906037962,0.2593273541722472,1.0,1.0
54,RM_Type_II,Mokosh_TypeII,-1,0.5032884839520457,0.138572501878287,0.0641923365890308,0.09867775116867888,0.29494888261407315,1.0,1.0
99,MazEF,PsyrTA,1,0.4861968673551574,0.15989481592787377,0.0526671675432006,0.14231301894162388,0.39100142577900704,1.0,1.0
31,RM_Type_I,RM_Type_II,-1,0.4719693491040471,0.21284748309541698,0.138572501878287,0.12111073585456003,0.3467591594993719,1.0,1.0
64,RM_Type_IV,BREX_I,-1,0.4631228021782001,0.13350864012021038,0.03682945154019534,0.1262749222973838,0.354090503761736,1.0,1.0
57,RM_Type_II,PsyrTA,-1,0.45249112191496604,0.138572501878287,0.0526671675432006,0.22816320411265084,0.5,1.0,1.0
102,PD-T4-1,BREX_I,1,0.44633627605487813,0.019894815927873778,0.03682945154019534,0.1905057546125593,0.49824581975592436,1.0,1.0
42,RM_Type_I,PARIS_II,-1,0.4436662108742482,0.21284748309541698,0.02211870773854245,0.2178875680776321,0.5,1.0,1.0
37,RM_Type_I,Retron_II,-1,0.42761841123561206,0.21284748309541698,0.03313298271975958,0.12901605938783806,0.3580853893213464,1.0,1.0
46,RM_Type_II,CAS_Class1-Subtype-I-E,-1,0.40742337860566513,0.138572501878287,0.20018031555221638,0.2301936764712032,0.5,1.0,1.0
35,RM_Type_I,MazEF,1,0.3968429121160968,0.21284748309541698,0.15989481592787377,0.12614452414362312,0.354090503761736,1.0,1.0
44,RM_Type_I,PsyrTA,-1,0.3860109331313314,0.21284748309541698,0.0526671675432006,0.26633514850762097,0.5,1.0,1.0
71,CAS_Class1-Subtype-I-E,MazEF,-1,0.37289696347059714,0.20018031555221638,0.15989481592787377,0.28299572358921316,0.5,1.0,1.0
119,RM_Type_III,PD-T4-3,-1,0.3543718971993304,0.13646882043576258,0.07738542449286251,0.2478473780169203,0.5,1.0,1.0
117,RM_Type_III,Mokosh_TypeII,-1,0.34779093517153825,0.13646882043576258,0.0641923365890308,0.26510130778125485,0.5,1.0,1.0
41,RM_Type_I,Mokosh_TypeII,-1,0.34264990621009694,0.21284748309541698,0.0641923365890308,0.21584897026381977,0.5,1.0,1.0
56,RM_Type_II,PD-T4-3,-1,0.31985630222225625,0.138572501878287,0.07738542449286251,0.15110738426053813,0.41101208518866367,1.0,1.0
60,RM_Type_IV,MazEF,1,0.3193197718466698,0.13350864012021038,0.15989481592787377,0.20186131939632754,0.5,1.0,1.0
108,Retron_II,RM_Type_III,1,0.31098665785501334,0.03313298271975958,0.13646882043576258,0.19879408398330778,0.5,1.0,1.0
32,RM_Type_I,RM_Type_IV,1,0.3105363657245408,0.21284748309541698,0.13350864012021038,0.15524162168994418,0.4180764465313348,1.0,1.0
33,RM_Type_I,CAS_Class1-Subtype-I-E,-1,0.2865748403510189,0.21284748309541698,0.20018031555221638,0.3162474682929093,0.5,1.0,1.0
115,RM_Type_III,BREX_I,-1,0.28370639715548274,0.13646882043576258,0.03682945154019534,0.29709592202457724,0.5,1.0,1.0
78,CAS_Class1-Subtype-I-E,PARIS_II,-1,0.2695220328274745,0.20018031555221638,0.02211870773854245,0.3249220426798549,0.5,1.0,1.0
63,RM_Type_IV,RM_Type_III,-1,0.26314459192378004,0.13350864012021038,0.13646882043576258,0.3047272583273741,0.5,1.0,1.0
3,Mok_Hok_Sok,RM_Type_IV,-1,0.25886987494260616,0.12283996994740796,0.13350864012021038,0.19993092119268108,0.5,1.0,1.0
101,PD-T4-1,RM_Type_III,1,0.25702171736343465,0.019894815927873778,0.13646882043576258,0.3148779022403043,0.5,1.0,1.0
21,CBASS_I,MazEF,-1,0.24498793494535942,0.042945154019534186,0.15989481592787377,0.30162696930107363,0.5,1.0,1.0
74,CAS_Class1-Subtype-I-E,RM_Type_III,1,0.22923976025213993,0.20018031555221638,0.13646882043576258,0.31759834173110724,0.5,1.0,1.0
100,PD-T4-1,Retron_II,-1,0.2113873287803625,0.019894815927873778,0.03313298271975958,0.35553025644866104,0.5,1.0,1.0
116,RM_Type_III,AbiU,1,0.19957480505476966,0.13646882043576258,0.019053343350864012,0.2917625202527927,0.5,1.0,1.0
112,Retron_II,PARIS_II,1,0.17595367445072174,0.03313298271975958,0.02211870773854245,0.3261013048121142,0.5,1.0,1.0
16,CBASS_I,RM_Type_I,-1,0.153233372327104,0.042945154019534186,0.21284748309541698,0.31285130783810117,0.5,1.0,1.0
122,BREX_I,Mokosh_TypeII,-1,0.15221943831653473,0.03682945154019534,0.0641923365890308,0.3544045159951454,0.5,1.0,1.0
2,Mok_Hok_Sok,RM_Type_II,1,0.09776931685578916,0.12283996994740796,0.138572501878287,0.3391861308864341,0.5,1.0,1.0
51,RM_Type_II,RM_Type_III,-1,0.09516119371792064,0.138572501878287,0.13646882043576258,0.4140699845872427,0.5,1.0,1.0
1,Mok_Hok_Sok,RM_Type_I,1,0.05412590995027555,0.12283996994740796,0.21284748309541698,0.4153493580893487,0.5,1.0,1.0
67,RM_Type_IV,PARIS_II,-1,0.029881051041868112,0.13350864012021038,0.02211870773854245,0.48132809138222366,0.5,1.0,1.0
47,RM_Type_II,AbiE,1,0.020339318711332766,0.138572501878287,0.053493613824192335,0.4987474617079094,0.5,1.0,1.0
104,PD-T4-1,Mokosh_TypeII,1,0.004828907448739095,0.019894815927873778,0.0641923365890308,0.4994495746138832,0.5,1.0,1.0
